group,channel,h,mean,lo,hi
OECD,C->C,0,0.013785662681560373,0.013315093157938803,0.014256232205181943
OECD,C->C,1,0.0008283534133478959,0.00016215355811252132,0.0014945532685832707
OECD,C->C,2,5.15980940597998e-05,-2.9183555960390445e-05,0.00013237974407999005
OECD,C->C,3,4.144339657159408e-06,-6.125184040356832e-06,1.4413863354675648e-05
OECD,C->C,4,7.905888328266186e-07,-3.059850397212111e-06,4.641028062865348e-06
OECD,C->C,5,3.254656238845596e-07,-1.6301296752037288e-06,2.281060922972848e-06
OECD,C->C,6,1.620447134288769e-07,-8.412205489849649e-07,1.1653099758427188e-06
OECD,C->C,7,8.276860655208761e-08,-4.320832473789642e-07,5.976204604831394e-07
OECD,C->C,8,4.240482532135586e-08,-2.21846525189674e-07,3.0665617583238575e-07
OECD,C->C,9,2.1732971476522827e-08,-1.1391803669311778e-07,1.5738397964616343e-07
OECD,C->C,10,1.1138864873469227e-08,-5.850769417383374e-08,8.07854239207722e-08
OECD,C->I,0,-0.014149604239306416,-0.029927702350191883,0.0016284938715790485
OECD,C->I,1,-0.0064300640231348995,-0.024168348788152997,0.011308220741883198
OECD,C->I,2,-0.0032464791353281623,-0.013192716726270284,0.00669975845561396
OECD,C->I,3,-0.0016609972839526522,-0.006816753076419514,0.0034947585085142096
OECD,C->I,4,-0.0008511447965038306,-0.0035019644306696408,0.0017996748376619795
OECD,C->I,5,-0.0004362316654168025,-0.001798659512905572,0.0009261961820719671
OECD,C->I,6,-0.00022358371530788385,-0.0009242000934858889,0.00047703266287012116
OECD,C->I,7,-0.0001145946198647975,-0.0004751071749513819,0.0002459179352217869
OECD,C->I,8,-5.873384243501408e-05,-0.00024435713689170636,0.00012688945202167818
OECD,C->I,9,-3.01031965360404e-05,-0.00012573659702764286,6.553020395556208e-05
OECD,C->I,10,-1.542896578345044e-05,-6.472857455141851e-05,3.3870642984517625e-05
OECD,I->C,0,0.0,0.0,0.0
OECD,I->C,1,-0.00010679086587116784,-0.0006796575471359359,0.0004660758153936003
OECD,I->C,2,-6.111976623585779e-05,-0.00038903908849704,0.0002667995560253244
OECD,I->C,3,-3.170790034644986e-05,-0.00020196299186309088,0.00013854719117019115
OECD,I->C,4,-1.6274265831993852e-05,-0.00010375430911445522,7.120577745046751e-05
OECD,I->C,5,-8.342509035713845e-06,-5.3246185637522435e-05,3.6561167566094746e-05
OECD,I->C,6,-4.275916143027608e-06,-2.732690895245987e-05,1.8775076666404652e-05
OECD,I->C,7,-2.1915649644261184e-06,-1.4027049041902409e-05,9.643919113050173e-06
OECD,I->C,8,-1.123255784889332e-06,-7.201475608897793e-06,4.95496403911913e-06
OECD,I->C,9,-5.757088150027363e-07,-3.6979062541291478e-06,2.5464886241236756e-06
OECD,I->C,10,-2.950713766664759e-07,-1.899190958345501e-06,1.3090482050125491e-06
OECD,I->I,0,0.32669307444195766,0.3155415028445872,0.3378446460393281
OECD,I->I,1,0.1674559705910514,0.1527143867142396,0.18219755446786323
OECD,I->I,2,0.08582802080728436,0.07159898324898172,0.100057058365587
OECD,I->I,3,0.04398998327079003,0.03318147633359341,0.054798490207986654
OECD,I->I,4,0.022546444090502035,0.015191766057086598,0.029901122123917472
OECD,I->I,5,0.01155585984340638,0.006853382959937999,0.01625833672687476
OECD,I->I,6,0.0059227918312782825,0.003033735247955266,0.008811848414601298
OECD,I->I,7,0.003035642825001711,0.001309253788604665,0.004762031861398757
OECD,I->I,8,0.0015558756109904054,0.0005450716733923571,0.002566679548588454
OECD,I->I,9,0.0007974419443830738,0.00021478305467103123,0.0013801008340951163
OECD,I->I,10,0.0004087175415360106,7.697337316397719e-05,0.000740461709908044
