,weight
PAN,0.7334329365362406
BOL,0.21854278730618873
PRY,0.04802427615757058
CRI,7.856233952814467e-16
PER,1.6605598257290558e-16
ARG,1.5397389072001842e-16
MEX,1.4914919269857566e-16
CHL,2.276770879368817e-17
COL,1.691277066273809e-17
DOM,0.0
ECU,0.0
SLV,0.0
URY,0.0
VEN,0.0
