horizon,beta,se,t,p,ci_low,ci_high,n_obs,n_countries
0,0.23189718989078767,0.1758997381613851,1.3183486929242945,0.18747549020097432,-0.11286629690552713,0.5766606766871025,3572,127
1,0.37976396980202143,0.3903844523294349,0.972794811719471,0.3307269373679844,-0.38538955676367104,1.144917496367714,3445,127
2,0.5173433087123638,0.5794776295164875,0.892775289952145,0.37204554548612734,-0.6184328451399517,1.6531194625646792,3318,127
3,0.4617710572878042,0.7175033669724522,0.6435803350112131,0.5198962794224251,-0.944535541978202,1.8680776565538104,3191,127
4,0.39122096158867636,0.7900384644242134,0.49519229658495356,0.620501827483219,-1.157254428682782,1.9396963518601347,3064,127
5,0.3151423807868937,1.0174123636162276,0.3097489199627682,0.7567751054559568,-1.6789858519009124,2.3092706134746996,2937,126
