variable,transform,test,exo,lags,stat,p_value,n_countries,method
log_gdp_pc,diff,madwu,trend,1,929.082002112395,8.3160548383395e-79,125,plm::purtest madwu
log_gdp_pc,diff,madwu,trend,2,577.003660020278,6.72724522789598e-28,125,plm::purtest madwu
education_years,level,ips,intercept,0,-39.1393969977805,0,115,plm::purtest ips
education_years,level,ips,intercept,1,-11.0220644210171,1.49559538839421e-28,115,plm::purtest ips
education_years,level,ips,intercept,2,-12.4154270718867,1.07766829833857e-35,115,plm::purtest ips
education_years,level,madwu,intercept,0,3322.15672132784,0,115,plm::purtest madwu
education_years,level,madwu,intercept,1,530.496960569141,8.64746246512868e-26,115,plm::purtest madwu
education_years,level,madwu,intercept,2,582.582933675815,1.72084631896431e-32,115,plm::purtest madwu
education_years,level,ips,trend,0,21.9359264091423,1,115,plm::purtest ips
education_years,level,ips,trend,1,1.231746445304,0.890978092861472,115,plm::purtest ips
education_years,level,ips,trend,2,-0.437541657201756,0.330859286096627,115,plm::purtest ips
education_years,level,madwu,trend,0,240.507672226687,0.303756025812081,115,plm::purtest madwu
education_years,level,madwu,trend,1,246.081259872079,0.222460295679617,115,plm::purtest madwu
education_years,level,madwu,trend,2,286.758595593433,0.0064595238912606,115,plm::purtest madwu
education_years,diff,ips,intercept,0,2.12404920003171,0.983166985145157,115,plm::purtest ips
education_years,diff,ips,intercept,1,1.07836654896045,0.859564895494593,115,plm::purtest ips
education_years,diff,ips,intercept,2,-1.12004549515309,0.131347187676246,115,plm::purtest ips
education_years,diff,madwu,intercept,0,135.359275756827,0.999999895948413,115,plm::purtest madwu
education_years,diff,madwu,intercept,1,159.336082402555,0.999882266750695,115,plm::purtest madwu
education_years,diff,madwu,intercept,2,201.766892516972,0.910370151822042,115,plm::purtest madwu
education_years,diff,ips,trend,0,0.748638233742289,0.772962359472819,115,plm::purtest ips
education_years,diff,ips,trend,1,-0.716941039428113,0.236705238967439,115,plm::purtest ips
education_years,diff,ips,trend,2,-4.1558662910402,1.62028655085615e-05,115,plm::purtest ips
education_years,diff,madwu,trend,0,147.557642550655,0.999994592119875,115,plm::purtest madwu
education_years,diff,madwu,trend,1,180.49351115323,0.993181763181521,115,plm::purtest madwu
education_years,diff,madwu,trend,2,242.752096391323,0.269319530963076,115,plm::purtest madwu
trade_open,level,ips,intercept,0,-2.15349962442369,0.0156397167898345,114,plm::purtest ips
trade_open,level,ips,intercept,1,-3.08313821989313,0.0010241499712307,114,plm::purtest ips
trade_open,level,ips,intercept,2,-1.26801576585814,0.102396160214676,114,plm::purtest ips
trade_open,level,madwu,intercept,0,278.832707998615,0.0120921433126073,114,plm::purtest madwu
trade_open,level,madwu,intercept,1,321.067799630765,4.69016356456887e-05,114,plm::purtest madwu
trade_open,level,madwu,intercept,2,233.765647834121,0.38250086957025,114,plm::purtest madwu
trade_open,level,ips,trend,0,-2.2997580797573,0.0107309648123371,114,plm::purtest ips
trade_open,level,ips,trend,1,-4.86390423992581,5.75463060477157e-07,114,plm::purtest ips
trade_open,level,ips,trend,2,-3.07361939318166,0.00105739523470595,114,plm::purtest ips
trade_open,level,madwu,trend,0,363.314768065882,2.93235348358081e-08,114,plm::purtest madwu
trade_open,level,madwu,trend,1,459.067296227999,1.07848633172292e-17,114,plm::purtest madwu
trade_open,level,madwu,trend,2,397.671042199431,2.43584039449287e-11,114,plm::purtest madwu
trade_open,diff,ips,intercept,0,-40.313994240516,0,114,plm::purtest ips
trade_open,diff,ips,intercept,1,-29.1241750466234,8.87238557193946e-187,114,plm::purtest ips
trade_open,diff,ips,intercept,2,-21.9409281057403,5.28611204849876e-107,114,plm::purtest ips
trade_open,diff,madwu,intercept,0,2528.27790394002,0,114,plm::purtest madwu
trade_open,diff,madwu,intercept,1,1693.01999870807,7.96898319288904e-222,114,plm::purtest madwu
