direction,lags,imp,Wbar,Ztilde,p_asym
corr_to_gini,1,1,1.2552164322146606,2.0337403058886743,0.020988893008276666
corr_to_gini,1,2,1.0944721354861788,0.7528190408994395,0.22577933155598484
corr_to_gini,1,3,1.178874287099956,1.4253935148513763,0.07702174082059676
corr_to_gini,1,4,1.213652471674023,1.702530042151567,0.04432802586462625
corr_to_gini,1,5,1.4345441020306873,3.4627466864778285,0.00026734576203590876
corr_to_gini,1,6,1.0640987699544617,0.5107831454388084,0.30475145621546174
corr_to_gini,1,7,1.3054009808405662,2.4336453527059203,0.007473816289042645
corr_to_gini,1,8,1.1736253855306813,1.3835666520963257,0.0832455926612008
corr_to_gini,1,9,1.4706230053076297,3.750248236240351,8.832979890138759e-05
corr_to_gini,1,10,1.332214835252452,2.647316612038534,0.004056667596969876
corr_to_gini,1,11,1.070176031447271,0.5592109505769819,0.2880088802663274
corr_to_gini,1,12,1.1432663271437218,1.141644765818815,0.12680085419312714
corr_to_gini,1,13,1.1642209043385439,1.308625268853671,0.09533065855073009
corr_to_gini,1,14,1.1823783188490935,1.4533160531436624,0.07306801108182204
corr_to_gini,1,15,1.298222260076824,2.376440361494137,0.008740293475547056
corr_to_gini,1,16,1.1533087387014993,1.2216696175736432,0.11091629509684875
corr_to_gini,1,17,1.1325024489164335,1.055870770749009,0.14551362984212746
corr_to_gini,1,18,1.3704072939457743,2.9516604270177633,0.0015803515503094445
corr_to_gini,1,19,1.3658203028081102,2.9151081224562163,0.0017778266734990167
corr_to_gini,1,20,1.4349515107505844,3.4659931997506424,0.00026413832044458463
corr_to_gini,1,21,1.3161489455000355,2.519292537507268,0.005879545704422617
corr_to_gini,1,22,1.5096680690298725,4.061386195300635,2.4391098459086713e-05
corr_to_gini,1,23,1.0737720584158257,0.5878665701370148,0.27831092834012616
corr_to_gini,1,24,1.422079654484133,3.3634213838470735,0.00038491379484695276
corr_to_gini,1,25,1.4486205834415358,3.5749177851877127,0.00017516898401515046
corr_to_gini,1,26,1.5409958063825222,4.311027182730433,8.124896300643059e-06
corr_to_gini,1,27,1.2828336668856213,2.2538134524338695,0.012103953079758312
corr_to_gini,1,28,1.140327443983263,1.1182257207132256,0.13173530089012442
corr_to_gini,1,29,1.0637626554259327,0.5081047533849251,0.30568994095012514
corr_to_gini,1,30,1.220059865448606,1.7535885686813533,0.03975051559025711
corr_to_gini,1,31,1.068428042331783,0.5452817694205239,0.2927798702652735
corr_to_gini,1,32,1.0556911972190208,0.4437858153751424,0.328598722349405
corr_to_gini,1,33,1.244232456320101,1.946212421019229,0.02581461424872833
