horizon,beta,se,t,p,ci_low,ci_high,n_obs,n_countries
0,0.0007334388867260594,0.0015864435075215574,0.46231642239305715,0.6438839201541937,-0.0023759903880161927,0.003842868161468312,3572,127
1,0.0014834315113807573,0.0024737699637231107,0.5996642909950045,0.5487698326406147,-0.0033651576175165393,0.006332020640278054,3572,127
2,0.0017959110991131782,0.0033244524877848094,0.5402125931147995,0.5890858004321071,-0.0047200157769450475,0.008311837975171404,3562,127
3,0.003414225085072917,0.0037635642945897485,0.9071786258523553,0.36437771053641366,-0.0039623609323229895,0.010790811102468824,3504,127
4,0.003510415237038643,0.003992333464827515,0.8792890844328073,0.3793091221867795,-0.004314558354023286,0.011335388828100573,3431,127
5,0.004273777858049679,0.004236111126989398,1.0088918184464748,0.3131030616740591,-0.00402899995084954,0.012576555666948899,3347,127
