variable,statistic,p_value,avg_corr,avg_abs_corr,n_pairs,n_countries,n_periods,method
v2x_corr,8.944072112392883,0.0,0.02008121116974045,0.4050491441275493,7875,128,26,Pesaran CD (Py)
gini_disp,17.197694831750656,0.0,0.03741034530076062,0.639688348939839,8128,128,26,Pesaran CD (Py)
log_gdp_pc,329.60554021064405,0.0,0.7226627906113765,0.7878017381493597,8001,127,26,Pesaran CD (Py)
education_years,333.91870467964907,0.0,0.808849506831673,0.8749461264429977,6555,115,26,Pesaran CD (Py)
trade_open,77.49667370665723,0.0,0.1769524094615113,0.46610520147021195,7379,122,26,Pesaran CD (Py)
gov_size,37.21427994690675,0.0,0.08435808858776325,0.39721452358774517,7494,123,26,Pesaran CD (Py)
v2x_polyarchy,26.55220734710529,0.0,0.05775932501829871,0.42504104348385996,8128,128,26,Pesaran CD (Py)
